1861-6585,,1861-6585,"Forum implantologicum.","Forum Implantol",,"Forum Implantol"
2049-4394,2049-4408,,"Bone & joint journal.","Bone Joint J","Bone and joint journal","Bone Joint J"
2325-8160,2325-8179,,"Ophthalmic surgery, lasers & imaging retina.",,"Ophthalmic surgery, lasers and imaging retina",
,2314-4696,,"ISRN tissue engineering","ISRN Tissue Eng",,"ISRN Tissue Eng"
2164-1846,2164-1862,,"Fatigue : biomedicine, health and behavior.",Fatigue,,Fatigue
,2213-1779,,"JACC. Heart failure.","JACC Heart Fail","Heart failure","JACC Heart Fail"
2325-4394,2325-4416,,"Medical science monitor basic research.","Med Sci Monit Basic Res",,"Med Sci Monit Basic Res"
2168-4790,,,"Therapeutic innovation & regulatory science.",,"Therapeutic innovation and regulatory science",
2166-2630,2166-2649,,"Advances in eating disorders.","Adv Eat Disord",,"Adv Eat Disord"
,2213-2198,,"The journal of allergy and clinical immunology in practice","J Allergy Clin Immunol Pract",,"J Allergy Clin Immunol Pract"
2050-7488,2050-7496,,"Journal of materials chemistry. A, Materials for energy and sustainability.","J Mater Chem A Mater Energy Sustain",,"J Mater Chem A Mater Energy Sustain"
,2169-8287,,"Genome announcements","Genome Announc",,"Genome Announc"
2169-5717,2169-5725,,"Hearing, balance and communication.",,,
,,,"European journal of physiotherapy.",,,
2169-1401,2169-141X,,"Artificial cells, nanomedicine, and biotechnology.","Artif Cells Nanomed Biotechnol",,"Artif Cells Nanomed Biotechnol"
2047-4830,2047-4849,,"Biomaterials science.","Biomater Sci",,"Biomater Sci"
2090-9063,2090-9071,2090-9071,"Journal of chemistry","J Chem",,"J Chem"
,2168-0450,,"Applications in plant sciences","Appl Plant Sci",,"Appl Plant Sci"
2168-6254,2168-6262,,"JAMA surgery.","JAMA Surg","Journal of the American Medical Association surgery","JAMA Surg"
2168-622X,2168-6238,,"JAMA psychiatry.","JAMA Psychiatry","Journal of the American Medical Association psychiatry","JAMA Psychiatry"
2168-6203,2168-6211,,"JAMA pediatrics.","JAMA Pediatr","Journal of the American Medical Association pediatrics.","JAMA Pediatr"
2168-6181,2168-619X,,"JAMA otolaryngology-- head & neck surgery.","JAMA Otolaryngol Head Neck Surg","Journal of the American Medical Association otolaryngology, head & neck surgery","JAMA Otolaryngol Head Neck Surg"
2168-6165,2168-6173,,"JAMA ophthalmology.","JAMA Ophthalmol","Journal of the American Medical Association ophthalmology","JAMA Ophthalmol"
2168-6149,2168-6157,,"JAMA neurology.","JAMA Neurol","Journal of the American Medical Association neurology","JAMA Neurol"
2168-6106,2168-6114,,"JAMA internal medicine.","JAMA Intern Med","Journal of the American Medical Association internal medicine","JAMA Intern Med"
2168-6076,2168-6092,,"JAMA facial plastic surgery.","JAMA Facial Plast Surg","Journal of the American Medical Association facial plastic surgery","JAMA Facial Plast Surg"
2168-6068,2168-6084,,"JAMA dermatology.","JAMA Dermatol","Journal of the American Medical Association dermatology","JAMA Dermatol"
2168-1805,2168-1813,,"Scandinavian journal of urology.","Scand J Urol",,"Scand J Urol"
2167-8421,2167-9223,,"Amyotrophic lateral sclerosis and frontotemporal degeneration.","Amyotroph Lateral Scler Frontotemporal Degener",,"Amyotroph Lateral Scler Frontotemporal Degener"
2047-2919,2047-2927,,Andrology,Andrology,,Andrology
,2001-1326,,"Clinical and translational medicine","Clin Transl Med",,"Clin Transl Med"
,2193-1801,,SpringerPlus,Springerplus,"Springer plus",Springerplus
,2047-1440,2047-1440,"Transplantation research","Transplant Res",,"Transplant Res"
2157-7323,2157-7331,,"IIE transactions on occupational ergonomics and human factors.","IIE Trans Occup","Institute of Industrial Engineers transactions on occupational ergonomics and human factors","IIE Trans Occup"
2090-8334,2090-8342,2090-8342,"Journal of drug and alcohol research.","J Drug Alcohol Res",,"J Drug Alcohol Res"
2165-9079,2165-9087,,IntraVital.,Intravital,,Intravital
,2047-217X,2047-217X,Giagscience,Gigascience,,Gigascience
,2047-7600,2047-7600,"Treatment strategies. Hematology","Treat Strategies Hematol",,"Treat Strategies Hematol"
,2211-9124,,"Global food security","Glob Food Sec",,"Glob Food Sec"
,2167-3039,,"Journal of basic and clinical medicine","J Basic Clin Med",JBCM,"J Basic Clin Med"
,2076-0817,2076-0817,Pathogens,Pathogens,,Pathogens
,2223-7747,2223-7747,Plants,Plants,,Plants
,2164-2591,,"Translational vision science & technology","Transl Vis Sci Technol",,"Transl Vis Sci Technol"
2169-3285,2169-3323,2169-3285,"Social networking.","Soc Netw",SN,"Soc Netw"
,2045-7634,,"Cancer medicine","Cancer Med",,"Cancer Med"
2168-2119,2168-2127,2168-2119,"The International journal of targeted therapies in cancer.","Int J Target Ther Cancer",,"Int J Target Ther Cancer"
,2222-1751,,"Emerging microbes & infections","Emerg Microbes Infect",EMI,"Emerg Microbes Infect"
,2191-1363,2191-1363,ChemistryOpen,ChemistryOpen,"Chemistry Open",ChemistryOpen
2168-3492,2169-4796,2168-3492,"Alcohol research : current reviews.","Alcohol Res",,"Alcohol Res"
,1929-2279,,"Journal of cancer research updates","J Can Res Updates",,"J Can Res Updates"
,,,"F1000 research","F1000 Res",,"F1000 Res"
,0009-479X,0009-479X,"Polish orthopedics & traumatology","Pol Orthop Traumatol","Polish orthopedics and traumatology","Pol Orthop Traumatol"
2194-9263,2161-962X,,"Epidemiologic methods.","Epidemiol Method",,"Epidemiol Method"
2277-9531,2319-6440,2277-9531,"Journal of education and health promotion","J Educ Health Promot",,"J Educ Health Promot"
2299-0631,,2299-0631,"Annals of parasitology.","Ann Parasitol",,"Ann Parasitol"
,2050-1218,2050-1218,"Journal of regenerative medicine & tissue engineering","J Regen Med Tissue Eng",,"J Regen Med Tissue Eng"
