Title,Print ISSN,e-ISSN
19th-Century Music,0148-2076,1533-8606
21st Century Society: Journal of the Academy of Social Sciences,1745-0144,1745-0152
3C ON-LINE,1078-2192,
4OR,1619-4500,1614-2411
A.M.A. Journal of Diseases of Children,0096-6916,1538-3628
A0RN Journal,0001-2092,
AACN Advanced Critical Care,1559-7768,
AACN Clinical Issues in Critical Care Nursing,1046-7467,
AACN Clinical Issues: Advanced Practice in Acute and Critical Care,1079-0713,
Abacus,0001-3072,1467-6281
Abdominal Imaging,0942-8925,1432-0509
Abgadyat,1687-8280,2213-8609
Abhandlungen aus dem Mathematischen Seminar der Universität Hamburg,0025-5858,1865-8784
ABI-Technik,0720-6763,2191-4664
About Campus,1086-4822,1536-0687
Abstract and Applied Analysis,1085-3375,1687-0409
Abstracts in Social Gerontology,1047-4862,
Academic Emergency Medicine,1069-6563,1553-2712
Academic Medicine,1040-2446,
Academic Pediatrics,1876-2859,1876-2867
Academic Physician and Scientist,1039-1139,
Academic Questions,0895-4852,1936-4709
Academic Radiology,1076-6332,
ACC Current Journal Review,1062-1458,
Accident Analysis & Prevention,0001-4575,
Accident and Emergency Nursing,0965-2302,
Accountability in Research,0898-9621,1545-5815
Accounting & Finance,0810-5391,1467-629X
Accounting and Business Research,0001-4788,2159-4260
Accounting and the Public Interest,,1530-9320
Accounting Business & Financial History,0958-5206,1466-4275
Accounting Education,0963-9284,1468-4489
Accounting Forum,0155-9982,
Accounting History,1032-3732,
Accounting History Review,2155-2851,2155-286X
Accounting Horizons,0888-7993,1558-7975
Accounting in Europe,1744-9480,1744-9499
Accounting Perspectives,1911-382X,1911-3838
Accounting Research Journal,1030-9616,
"Accounting, Auditing & Accountability Journal",0951-3574,
"Accounting, Management and Information Technologies",0959-8022,
"Accounting, Organizations and Society",0361-3682,
Accounts of Chemical Research,0001-4842,1520-4898
Accreditation and Quality Assurance,0949-1775,1432-0517
ACM Communications in Computer Algebra,1932-2240,
ACM Computing Surveys,0360-0300,1557-7341
ACM Conference Proceedings,,
ACM Inroads,2153-2184,2153-2192
ACM Journal of Computer Documentation,1527-6805,1557-9441
ACM Journal on Emerging Technologies in Computing Systems,1550-4832,1550-4840
ACM Letters on Programming Languages and Systems,1057-4514,1557-7384
ACM Lisp Bulletin,,
ACM SIGACCESS Accessibility and Computing,1558-2337,1558-1187
ACM SIGACT News,0163-5700,
ACM SIGAda Ada Letters,1094-3641,
ACM SIGAPL APL Quote Quad,0163-6006,
ACM SIGAPP Applied Computing Review,1559-6915,1931-0161
ACM SIGARCH Computer Architecture News,0163-5964,
ACM SIGART Bulletin,0163-5719,
ACM SIGBED Review,,1551-3688
ACM SIGBIO Newsletter,0163-5697,
ACM SIGBioinformatics Record,,2159-1210
ACM SIGCAPH Computers and the Physically Handicapped,0163-5727,
ACM SIGCAS Computers and Society,0095-2737,
ACM SIGCHI Bulletin,0736-6906,1558-1217
ACM SIGCOMM Computer Communication Review,0146-4833,
ACM SIGCPR Computer Personnel,0160-2497,
ACM SIGCSE Bulletin,0097-8418,
ACM SIGCSIM Installation Management Review,0163-5972,
ACM SIGCUE Outlook,0163-5735,
ACM SIGDA Newsletter,0163-5743,
ACM SIGDOC Asterisk Journal of Computer Documentation,0731-1001,
ACM SIGecom Exchanges,,1551-9031
ACM SIGEVOlution,,1931-8499
ACM SIGFORTH Newsletter,1047-4544,
ACM SIGGRAPH Computer Graphics,0097-8930,
